ClientID,Name,TypeID,Location,Region,Pricing
18,NC Grill,7,Savannah,CA,3
19,Silver Gastropub,1,Ranchos De Taos,NH,2
20,Silver Spoon,6,Damariscotta,NY,2
21,Fast BBQ,7,Tempe,NY,1
22,UZG Gastropub,3,Austin,RI,2
23,Green Bakery,6,Grand Haven,FL,1
24,Sugar Box,1,Port Jefferson,OR,2
25,ZL Eats,3,New York,KS,3
26,Big Subs,5,New York,SC,1
27,Silver Brasserie,1,San Antonio,GA,3
28,Salty Coffee,6,Charlottesville,VA,2
29,71 Sushi,5,Glen Rock,WI,2
30,Smokestack Gastropub,3,Burton,VT,1
31,Big Box,1,Milwaukee,KY,3
32,DRN Shakes,4,Cleveland,SC,2
33,Blue Plate Brasserie,2,San Dimas,LA,1
34,Green Subs,2,Boulder,CO,1
35,8379 BBQ,1,Middle River,CT,1
36,Belly Pizza,6,Bend,TX,2
37,51 Brasserie,7,Chicago,SC,3
38,11 Spoon,2,Santa Cruz,OR,2
39,Big Grill,2,Koloa,TX,3
40,Thirsty Diner,2,Austin,FL,2
41,Fast BBQ,2,Medford,CA,1
42,Salty Spoon,5,Mackinac Island,TX,2
43,Sweet Gastropub,4,Mesquite,CT,2
44,97 Pizza,2,Kittanning,TN,2
45,Salty Dragon,5,Deptford,CA,3
46,Hungry Gastropub,2,Galveston,CT,2
47,Salty Deli,6,Philadelphia,TN,2
48,57 Steakhouse,7,Santa Fe,GA,1
49,Spice Grill,5,Carson City,IL,2
50,98 Pub,5,Wyoming,NY,1
51,Sweet Pub,3,West Des Moines,TX,2
52,Hungry Shakes,2,Brighton,CA,1
53,3418 Box,1,Salem,NE,3
54,Thirsty Steakhouse,4,Boston,FL,2
55,Belly Kitchen,2,Los Angeles,SC,2
56,Sugar Dragon,1,Los Angeles,NJ,1
57,59 Coffee,6,Orlando,SC,2
58,VG Subs,6,Koloa,OR,2
59,Fast Creamery,7,Lubbock,OR,2
60,66 Diner,3,Villa Park,CA,1
61,Fat Grill & Tap,4,Baton Rouge,FL,3
62,Fat Kitchen,2,Sudbury,MI,2
63,Orange Curry,4,Madison,TN,2
64,XY Dragon,1,New York,OR,3
65,BG Coffee,4,Columbia,AZ,2
66,Hungry Grill,1,Couderay,IL,1
67,Golden Curry,3,Wolfeboro,MA,1
68,Blue Plate BBQ,2,Brentwood,CO,2
69,200 Steakhouse,6,Long Beach,NJ,2
70,Fat Steakhouse,5,Hermosa Beach,CA,3
71,Orange Brasserie,6,Pueblo West,CA,1
72,Belly Steakhouse,1,Delray Beach,ON,2
73,QP Sushi,4,Wichita Falls,MI,2
74,Golden Spoon,2,Atlanta,MN,1
75,Sugar Burger,2,Santa Fe,PA,2
76,Golden Sushi,6,Lowell,KS,3
77,4644 Curry,5,Bannockburn,TN,1
78,Smokestack Subs,6,Oakland,CA,3
79,Salty Box,7,Saint Augustine,IL,2
80,NY Dragon,3,Brattleboro,SC,3
81,Smokestack Box,5,Laurens,TX,2
82,Blue Cafe,1,Richmond,CA,2
83,Fast Pub,6,San Francisco,NY,2
84,Hungry Diner,4,Marietta,TX,2
85,Thirsty Spoon,6,Grapevine,NJ,2
86,Green BBQ,3,Woodbury,NC,2
87,Spice Burger,6,Lewiston,MA,2
88,Smokestack Diner,4,Seattle,NM,3
89,Blue Plate Kitchen,6,Oshkosh,TX,2
90,Blue Plate Creamery,4,Walterboro,MD,2
91,Fat Box,5,Montclair,PA,2
92,Green Juice Bar,7,Talent,NY,1
93,Sugar House,3,Washington,KY,2
94,Silver Grill,2,Bronx,IL,2
95,Belly BBQ,6,Tucson,MI,3
96,EXY Shakes,1,New York,VA,2
97,Thirsty Creamery,2,Spartanburg,CT,2
98,22 Shakes,4,Rehoboth Beach,NJ,2
99,Blue Coffee,7,Virginia Beach,SC,2
100,Fast Box,4,Dallas,PA,1
101,Blue Sushi,5,Washington,LA,2
102,Green Subs,1,Harrisburg,MI,2
103,737 Creamery,6,New York,CO,3
104,Smokestack Brasserie,4,Woodbury,CA,2
105,Sweet Bakery,1,Madison,NY,2
106,8438 Shakes,1,Detroit,WA,2
107,Hungry Steakhouse,5,New York,CA,1
108,Smokestack Sushi,3,Minong,PA,1
109,Hungry Gastropub,6,Bethlehem,ME,1
110,Green Eats,3,Carbondale,CA,2
111,2426 Dragon,1,Scottsdale,NJ,3
112,Blue BBQ,2,Denver,CA,3
113,Blue Plate Grill & Tap,7,Lake Havasu City,IL,1
114,YK Coffee,4,Dumfries,CA,1
115,Red House,6,Playa Vista,CO,2
116,Belly Juice Bar,1,Cambridge,IN,2
117,Green Deli,5,New Orleans,UT,3
118,Fast Curry,6,Las Vegas,QC,1
119,549 Eatery,3,Manhattan,NJ,2
120,Red Shakes,3,Baytown,CA,2
121,NZ Dragon,1,Frederick,CO,1
122,Golden Curry,3,Dallas,NY,1
123,Spice Shakes,3,Plymouth,PA,3
124,Thirsty Shakes,7,Brooklyn,NY,2
125,WV Box,4,Chesterton,FL,3
126,Smokestack Curry,6,Saugus,CA,2
127,6854 Kitchen,7,Galveston,TX,1
128,DJS House,7,Hurst,PA,2
129,691 Gastropub,7,Mount Washington,NY,1
130,Green Spoon,7,Vancouver,CA,2
131,6662 King,5,San Diego,NC,3
132,Spice BBQ,3,Coralville,VT,1
133,Smokestack Bakery,5,Greencastle,WI,2
134,Spice King,2,Phoenix,NY,1
135,Silver BBQ,3,Rapid City,NY,1
136,Belly Steakhouse,2,Roanoke,MT,2
137,Fat Cafe,4,Anniston,NJ,2
138,Blue Brasserie,5,Weehawken,IL,2
139,Red Gastropub,2,Vail,WI,3
140,Fat Eats,7,New York,KY,1
141,Spice Dragon,3,Frisco,CT,1
142,Green Curry,1,Scottsdale,OH,3
143,Green Pub,7,Boston,VA,2
144,Blue Eats,7,Naperville,FL,1
145,Fast Dragon,4,Pasadena,CA,2
146,Green Coffee,1,New York,TX,1
147,Golden Bakery,2,Menlo Park,MO,2
148,53 Brasserie,7,New Haven,CA,2
149,Red Creamery,2,Dallas,AR,2
150,Hungry Pub,4,Portland,WA,2
151,VYQ Kitchen,6,Williamsport,MO,2
152,IM Kitchen,1,Northport,FL,2
153,Silver Eatery,3,New York,FL,2
154,Green Curry,5,Kissimmee,CA,2
155,Blue Plate Brasserie,3,Girdwood,NY,2
156,Blue Plate Eatery,6,Foxboro,FL,2
157,Green Curry,3,Erie,CA,1
158,Fast Grill,3,Seattle,CA,3
159,664 King,5,Hollywood,LA,2
160,RSM Gastropub,7,Millbrook,CA,3
161,Sugar Shakes,3,Austin,FL,1
162,Golden Steakhouse,3,Wilmington,VA,3
163,Red Spoon,5,Glendale,MI,1
164,Big Diner,7,Omaha,OH,2
165,Silver Grill & Tap,6,Tampa,NY,1
166,Fat Brasserie,6,Las Vegas,FL,2
167,Sugar Eatery,7,Virginia Beach,CA,2
168,Smokestack Juice Bar,2,Great Falls,TX,2
169,ZJJ Cafe,4,Delray Beach,MN,3
170,Big Pub,2,Benson,CA,2
171,Thirsty Coffee,2,Newton Centre,OH,3
172,Spice Bakery,3,Denver,IL,2
173,Thirsty Spoon,7,Victorville,CA,2
174,Thirsty Curry,5,Tucson,NY,3
